abscissa (pl. abscissae)	úsečka; souřadnice
icosahedron (pl. icosahedra)	dvacetistěn
incentre	střed kružnice vepsané
induction	indukce
infinite	nekonečný
infinity	nekonečno
integer	celé číslo
positive integer	kladné celé číslo
intercept	souřadnice průsečíků grafu funkce s osami soustavy souřadnic
intersect	protínat
intersection	průnik; průsečík
closed interval	uzavřený interval
open interval	otevřený interval
unit interval	jednotkový interval
involution	umocňování
isosceles	rovnoramenný
kite	deltoid
lateral	postranní
horizontal line	vodorovná přímka
parallel line	rovnoběžná přímka
real line	reálná přímka
slanting line	šikmá přímka
straight line	přímka
vertical	svislá přímka
locus	geometrické místo
magnitude	velikost
mathematical	matematický
mathematician	matematik
mathematics/maths	matematika
mean	průměr; střední hodnota
median	těžnice; středový; střední
minuend	menšenec
multiple	násobek
multiply	násobit
notion	pojem
nought	nula; kroužek/kolečko
nucleus (pl. nuclei)	jádro (atomu, buňky)
nucleolus (pl. nucleoli)	jadérko
complex number	komplexní číslo
composite number	složené číslo
even number	sudé číslo
finite number	konečné číslo
irrational number	iracionální číslo
odd number	liché číslo
natural number	přirozené číslo
negative number	záporné číslo
positive number	kladné číslo
rational number	racionální číslo
real number	reálné číslo
serial number	řadové číslo
numerator	čitatel
oblique	křivka
obtuse	tupý
octagon	osmiúhelník
octahedron	osmistěn
one-variable setting	jedna proměnná
opposite	protilehlý
orthogonal	kolmý, pravoúhlý
parallelogram	rovnoběžník
parenthesis (pl. parentheses)	kulatá závorka
pentagon	pětiúhelník
perimeter	obvod, délka obvodu
period	perioda
perpendicular (to)	kolmý (k), svislý
physicist	fyzik
physics	fyzika
plane (geometry)	rovinná, v rovině
point of origin	střed kružnice
point of intersection	průsečík
corresponding point	odpovídající bod
critical point	kritický; nulový bod
point	bod; desetinná tečka
polygon	mnohoúhelník
polyhedron	mnohostěn
polynomial	mnohočlen
positive integer	přirozené číslo (kladné celé číslo)
power	mocnina
power exponent	mocnítko
premise	předpoklad; premisa
prime	prvočíslo
principle	zásada; pravidlo; princip
prism	hranol; prizma
prismatic	hranolovitý
procedure	postup; pochod; způsob práce
proceed	postupovat (dále)
product	součin
proof	důkaz
proportional	úměrný
protractor	úhloměr
prove	dokázat
pyramid	jehlan
quadrilateral	čtyřúhelník; čtyřstran
quantifier	kvantifikátor
quantify	měřit; vyjadřovat kvantitativně
quantity	množství; veličina
quotient	podíl; kvocient
radical, root	odmocnina
radicand	základ odmocniny; odmocněnec
radius (pl. radii)	poloměr
rapidity	rychlost
ratio	poměr; úměra
ray	polopřímka; paprsek
rectangle	obdélník; pravoúhlý čtyřúhelník
reflection	osová souměrnost; obraz
remainder	zbytek
air resistance	odpor vzduchu
rhombic; rhomboid; rhomboidal	kosočtvercový, kosodélníkový
rhombus (pl. rhombi)	kosočtverec
root sign	odmocnítko
rotation	rotace; otáčení
rule	pravidlo; předpis
scalar	skalár
secant	sekans; sečna
sector	výseč
segment	úsečka; kruhová úseč; část
semi-circle	půlkruh
sequence	posloupnost
series	řada
set	množina
sine	sinus
sphere	koule
spheric harmonics	sférické harmoniky/sférické harmonické funkce
spherical	kulatý; kulovitý; sférický
square	čtverec, druhá mocnina
subscript	dolní index
subsequence	podposloupnost
subset	podmnožina
substitute	nahradit
subtraction	odčítání
subtrahend	menšitel
sum	součet; suma
summand	sčítanec
superscript	horní index
tangent	tečna; tangens
technique	postup, metoda
tetrahedron (pl. tetrahedra)	čtyřstěn
theorem	věta; teorém; rovnice; vzorec
transform	transformovat, zobrazit
translation	translace; posunutí
transversal	příčka; transversála
trapezium	různoběžník
trial	zkouška; pokus
trial-and-error method	metoda pokus omyl
trigonometric	trigonometrický
truncated	komolý; seříznutý
union (of sets)	sjednocení (množin)
uniqueness	jedinečnost
unknown	neznámá
variable	proměnná
vector	vektor
verify	ověřit; verifikovat
vertex (pl. vertices)	vrchol
vortex (pl. vortices)	vír, víření
volume	objem
zero	nula; nulový
